NM_LOCAL_VOTACAO,DS_LOCAL_VOTACAO_ENDERECO,NR_ZONA,QT_VOTOS
COLEGIO DE APLICACAO DA UFRGS,"AV. BENTO GONCALVES, 9500",159,561
EDGAR LUIZ SCHNEIDER - ESCOLA ESTADUAL,"AV. ELIAS CIRNE LIMA, 100 - ESQ. AV. BENTO GONCALVES",113,214
ESC. EST. DE 1 GRAU PROF. ALCIDES CUNHA,"RUA HELIO PIMPAO, 52",159,205
PUCRS - PONTIFÍCIA UNIVERSIDADE CATÓLICA - PRÉDIO 50,"AV. IPIRANGA, 6681 - PRÉDIO 50",159,122
ESC. EST. DE 1 GRAU MIN. SALGADO FILHO,"RUA DR. JOSE BENTO CORREA, 100 - JARDIM YPU",159,118
COLEGIO MARISTA CHAMPAGNAT,"AV. BENTO GONCALVES, 4314",159,105
ESC. EST. DE 1 GRAU INC. DESIDERIO TORQUATO FINAMOR,"AV. BENTO GONCALVES, 7500",159,95
ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL JAPÃO,"RUA ENRICO CARUSO, 444",112,93
SANTA ROSA - ESC. EST. DE ENS. MEDIO,"AV. BERNARDINO DE OLIVEIRA PAIM, 665 - VILA SANTA ROSA",158,77
GEMA ANGELINA BELIA - ESCOLA ESTADUAL,"AV. ANTONIO DE CARVALHO, 495",113,76
"PROF. OSCAR PEREIRA, ESC EST ENS MED","RUA FRANCISCO MARTINS, S/N",114,75
ESCOLA ESTADUAL RAFAELA REMIAO,"ESTRADA JOÃO DE OLIVEIRA REMIÃO, 2689 - PAR. 06",159,72
ESC. MUN. DE 1 GRAU AFONSO GUERREIRO LIMA,"RUA GUAIBA, 203 - PARADA 11",159,66
SANTO ANTONIO - COLEGIO,"RUA LUIZ DE CAMOES, 372",113,64
BALTAZAR DE OLIVEIRA GARCIA - ESC. EST. DE ENS. MEDIO,"RUA  SGT. SILVIO DELMAR HOLLENBACH, 69",158,63
CASA DO PEQUENO OPERARIO-DOM BOSCO,EDUARDO CHARTTIER N 360,111,62
INSTITUTO DE EDUCACAO SAO FRANCISCO,"AV. BALTAZAR DE OLIVEIRA GARCIA, 4879",158,61
OTAVIO ROCHA - ESCOLA ESTADUAL,"RUA GUILHERME ALVES, 1900",113,61
NOSSA SENHORA DA GLORIA - COLEGIO,"AV. PROF. OSCAR PEREIRA, 3052",113,59
INSTITUTO EDUCACIONAL SÃO JUDAS TADEU,"RUA DOM DIOGO DE SOUZA, 100",112,59
COLÉGIO SANTA DOROTÉIA,"RUA MALI, 405",112,57
COLEGIO NOSSA SENHORA DO BOM CONSELHO,"RUA RAMIRO BARCELOS, 996",2,53
MARIZ E BARROS - ESC. EST. DE ENS. MEDIO,"AV.  DEL. ELY CORREA PRADO, 915 - VILA SAFIRA",158,53
ITAMARATI - ESC. EST. DE ENS. FUNDAMENTAL,"AV. FRANCISCO RODOLFO SIMCH, 617 - PASSO DA MANGUEIRA",112,52
"VERA CRUZ, ESC EST ENS FUND","RUA DONA LUIZA ROCCO, S/N - PROXIMO AV OSCAR PEREIRA",114,51
ESCOLA SÃO LUIZ GUANELLA,"AV BENNO MENTZ, 1560",112,51
ESC. EST. DE ENSINO MÉDIO AGRÔNOMO PEDRO PEREIRA,"AV. BENTO GONÇALVES, 8426",159,51
ESCOLA ESTADUAL DOM DIOGO DE SOUZA,"RUA ADÃO BAINO, 206",112,51
ESC. MUN. DE 1 GRAU HEITOR VILLA LOBOS - CIEM,"RUA SANTO DIAS DA SILVA, S/N - VILA MAPA - PARADA 4",159,51
PROF. LEOPOLDO TIETBOHL - ESCOLA ESTADUAL,"RUA RIVEIRA, 400",113,50
MAURICIO SIROTSKY SOBRINHO - ESCOLA ESTADUAL,"RUA PADRE CALDAS, 59",113,50
PADRE BALDUINO RAMBO - ESCOLA ESTADUAL,"RUA HUMBERTO DE CAMPOS, 130",113,48
ANTAO DE FARIA - ESCOLA ESTADUAL,"RUA BOM JESUS, 505",113,47
GOVERNADOR ILDO MENEGHETTI - ESC. MUNICIPAL DE ENS. FUNDAMENTAL,"RUA JAYME CYRINO MACHADO DE OLIVEIRA, 250",158,46
GEN. IBA ILHA MOREIRA - ESCOLA ESTADUAL,"RUA UM, S/N - CEFER I",113,45
ESC. ESTADUAL DE ENSINO FUND. E MÉDIO MONS. LEOPOLDO HOFF,"RUA MOEMA, 255",111,45
"ANITA GARIBALDI, ESC EST ENS FUND INC","AV. SAO JOSE DO NORTE, S/N",114,45
COLEGIO MARISTA NOSSA SENHORA DO ROSARIO,"PRACA DOM SEBASTIAO, 02",2,45
ESEF - ESCOLA SUPERIOR DE EDUCACAO FISICA,"RUA FELIZARDO, 750",113,45
PAN AMERICAN SCHOOL (ANTIGO COLÉGIO VERA CRUZ),JOAO OBINO N 110,111,44
ESCOLA DE ENSINO FUNDAMENTAL E MÉDIO JOSÉ CÉSAR MESQUITA,"AV. DO FORTE, 77",112,44
COLEGIO SAO JOSE DO MURIALDO,"RUA VIDAL DE NEGREIROS, 423",159,44
COLÉGIO SINODAL DO SALVADOR,"AV. MATHILDE TREIN RENNER, 55",112,44
COLÉGIO ROMANO SENHOR BOM JESUS,"RUA IRMÃO INOCÊNCIO LUIZ, 21",112,42
COLEGIO LEONARDO DA VINCI - ALFA,"RUA CABRAL, 555",2,42
JOAO ANTONIO SATTE - ESC. MUNICIPAL DE ENS. FUNDAMENTAL,"AV. GAMAL ABDEL NASSER, 500 - PARQUE DOS MAIAS",158,42
ESC. EST. DE ENSINO FUNDAMENTAL ONOFRE PIRES,"BECO DO DAVID, 269 - PARADA 1A",159,42
DAVID CANABARRO - ESC. EST. DE ENS. FUNDAMENTAL,"RUA LYDIA MOSCHETTI, 200 - JARDIM LEOPOLDINA",158,42
ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL TOYAMA,"ACESSO TOYAMA, 1",112,41
INSTITUTO PIRATINI,EUDORO BERLINK N 632,111,41
MIN. POTY MEDEIROS - ESC. EST. DE ENS. FUNDAMENTAL,"RUA VICENTE CELESTINO, 120 - PARQUE DOS MAIAS",158,41
ANCHIETA COLEGIO,AVENIDA NILO PEÇANHA N 1521,111,41
