NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO,DS_LOCAL_VOTACAO_ENDERECO,QT_VOTOS
1,5,ESCOLA ESTADUAL PRESIDENTE ROOSEVELT,"RUA BOTAFOGO, 396",6
1,138,TRT - TRIBUNAL REGIONAL DO TRABALHO,"AV.  PRAIA DE BELAS, 1100",6
1,216,ESCOLA MÃE ADMIRÁVEL,RUA BARONESA DO GRAVATAÍ 165,6
1,310,ESCOLA ESTADUAL EUCLIDES DA CUNHA,"RUA BARAO DO CERRO LARGO, 385",6
1,100,ESCOLA ESTADUAL MANÉ GARRINCHA,"AV. ÉRICO VERÍSSIMO, 1255",5
1,117,ESCOLA LA SALLE PÃO DOS POBRES,"RUA DA REPUBLICA, 801",5
1,151,INSTITUTO DA PROVIDENCIA,"RUA DEMETRIO RIBEIRO, 594",5
1,182,SESC - CENTRO,"AV. ALBERTO BINS, 665",5
1,241,UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE  DE PORTO ALEGRE,"RUA SARMENTO LEITE, 245",5
1,244,COLEGIO BOM JESUS - SEVIGNE,"RUA DUQUE DE CAXIAS,1443",5
1,253,TRT - TRIBUNAL REGIONAL DO TRABALHO,"AV.  PRAIA DE BELAS, 1100",5
1,291,ESCOLA ESTADUAL INACIO MONTANHA,"AV. JOAO PESSOA, 2125",5
1,6,ESCOLA ESTADUAL AFONSO EMILIO MASSOT,"RUA JOSE HONORATO DOS SANTOS, 101",4
1,7,COLEGIO ROMANO SANTA MARTA,"RUA MARCILIO DIAS, 1201",4
1,13,TRIBUNAL DE JUSTICA DO RS - PALACIO,"PRACA DA MATRIZ, 55",4
1,14,ESCOLA ESTADUAL DUQUE DE CAXIAS,"RUA GENERAL CALDWELL, 1175",4
1,22,ESCOLA ESTADUAL CANDIDO PORTINARI,"RUA MUCIO TEIXEIRA, 252",4
1,28,ESCOLA TECNICA ESTADUAL PAROBÉ,"AVENIDA LOUREIRO DA SILVA, 945",4
1,35,TRIBUNAL DE JUSTICA DO RS - PALACIO,"PRACA DA MATRIZ, 55",4
1,39,ESCOLA LA SALLE PÃO DOS POBRES,"RUA DA REPUBLICA, 801",4
1,53,COLEGIO LA SALLE DORES,"RUA RIACHUELO, 800",4
1,59,SENAC - TECH,"AV. VENANCIO AIRES, 93",4
1,62,ESCOLA ESTADUAL RIO DE JANEIRO,"RUA GENERAL LIMA E SILVA, 400",4
1,70,ESCOLA ESTADUAL INFANTE DOM HENRIQUE,"RUA GONCALVES DIAS, 1022",4
1,77,ESCOLA ESTADUAL PAULA SOARES,"RUA GENERAL AUTO, 68",4
1,85,SENAC - TECH,"AV. VENANCIO AIRES, 93",4
1,86,TRIBUNAL DE JUSTICA DO RS - PALACIO,"PRACA DA MATRIZ, 55",4
1,90,ESCOLA ESTADUAL ERNESTO DORNELLES,"RUA DUQUE DE CAXIAS,385",4
1,97,ESTÁCIO / FARGS - FACULDADES RIO-GRANDENSES,"RUA MARECHAL FLORIANO PEIXOTO, 626",4
1,99,ESCOLA ESTADUAL DUQUE DE CAXIAS,"RUA GENERAL CALDWELL, 1175",4
1,102,TRIBUNAL DE JUSTICA DO RS - PALACIO,"PRACA DA MATRIZ, 55",4
1,131,INSTITUTO IMACULADO CORACAO DE MARIA,"RUA RIACHUELO, 508",4
1,132,ESCOLA ESTADUAL PRESIDENTE ROOSEVELT,"RUA BOTAFOGO, 396",4
1,145,ESCOLA ESTADUAL DUQUE DE CAXIAS,"RUA GENERAL CALDWELL, 1175",4
1,167,ESCOLA ESTADUAL DUQUE DE CAXIAS,"RUA GENERAL CALDWELL, 1175",4
1,179,COLEGIO BOM JESUS - SEVIGNE,"RUA DUQUE DE CAXIAS,1443",4
