NR_ZONA,votos,secoes,locais,regiao,pct_total
159,1885,293,26,Partenon / Bento Gonçalves / Morro Santana,21.9
113,1201,292,29,Glória / Cascata / Cristal,14.0
112,1045,296,31,Sarandi / Passo D'Areia / Jardim Sabará,12.1
2,877,321,44,Centro Histórico / Bom Fim / Floresta,10.2
111,775,243,34,Auxiliadora / Higienópolis / Passo da Areia,9.0
158,683,248,24,Sarandi / Rubem Berta / Jardim Leopoldina,7.9
114,668,256,32,Cristal / Cavalhada / Camaquã,7.8
1,608,269,45,Menino Deus / Cidade Baixa / Praia de Belas,7.1
160,470,214,34,Cavalhada / Vila Nova / Ipanema,5.5
161,391,180,40,Restinga / Hípica / Belém Novo,4.5
